datetime,open,high,low,close,volume
2025-12-21 12:00:00,3000.07,3001.9,2996.3,2996.7,628.2479
2025-12-21 12:15:00,3000.0,3005.14,2999.48,3000.07,454.6616
2025-12-21 12:30:00,2985.81,3001.38,2983.0,3000.0,959.637
2025-12-21 12:45:00,2990.31,2990.67,2982.85,2985.99,1105.8386
2025-12-21 13:00:00,2972.37,2992.03,2963.27,2990.32,3128.1642
2025-12-21 13:15:00,2967.16,2974.43,2964.24,2972.37,1857.9778
2025-12-21 13:30:00,2956.13,2968.0,2947.62,2967.16,3749.5742
2025-12-21 13:45:00,2950.64,2959.14,2944.07,2956.13,1794.7782
2025-12-21 14:00:00,2960.45,2977.2,2947.09,2950.6,2542.6585
2025-12-21 14:15:00,2964.05,2967.76,2959.63,2960.45,971.0302
2025-12-21 14:30:00,2968.09,2969.23,2955.08,2964.06,1042.8175
2025-12-21 14:45:00,2970.52,2971.8,2966.28,2968.09,802.9464
2025-12-21 15:00:00,2967.34,2971.31,2964.92,2970.53,1223.665
2025-12-21 15:15:00,2965.68,2968.55,2962.46,2967.34,825.5119
2025-12-21 15:30:00,2969.57,2973.65,2964.21,2965.68,684.1246
2025-12-21 15:45:00,2974.89,2980.0,2968.01,2969.57,1224.7187
2025-12-21 16:00:00,2972.86,2979.26,2972.86,2974.89,1303.6366
2025-12-21 16:15:00,2977.48,2984.09,2969.38,2972.85,811.1029
2025-12-21 16:30:00,2976.47,2978.85,2974.82,2977.48,716.7419
2025-12-21 16:45:00,2986.31,2988.02,2975.82,2976.48,598.2289
2025-12-21 17:00:00,2984.41,2988.45,2982.49,2986.32,806.4898
2025-12-21 17:15:00,2979.4,2988.12,2977.49,2984.41,666.6373
2025-12-21 17:30:00,2985.82,2986.79,2978.77,2979.4,699.8677
2025-12-21 17:45:00,2983.72,2986.2,2981.61,2985.82,494.8566
2025-12-21 18:00:00,2970.27,2984.89,2967.48,2983.71,1182.511
2025-12-21 18:15:00,2977.92,2978.61,2969.56,2970.27,594.63
2025-12-21 18:30:00,2984.13,2985.67,2977.57,2977.92,524.303
2025-12-21 18:45:00,2988.49,2988.49,2983.52,2984.12,514.1392
2025-12-21 19:00:00,2989.84,2997.91,2988.49,2988.49,1530.0946
2025-12-21 19:15:00,2991.09,2991.67,2989.44,2989.84,422.2385
2025-12-21 19:30:00,2988.63,2991.08,2977.84,2991.08,1113.9484
2025-12-21 19:45:00,2991.32,2996.42,2986.83,2988.64,594.9572
2025-12-21 20:00:00,2991.29,2994.48,2990.98,2991.32,489.3736
2025-12-21 20:15:00,2989.54,2993.42,2987.72,2991.29,390.1371
2025-12-21 20:30:00,2991.78,2993.82,2989.55,2989.55,419.6844
2025-12-21 20:45:00,2986.88,2992.64,2985.23,2991.8,459.1158
2025-12-21 21:00:00,2988.5,2990.22,2985.42,2986.88,416.3757
2025-12-21 21:15:00,2986.45,2991.12,2986.45,2988.5,264.779
2025-12-21 21:30:00,2979.51,2987.31,2978.06,2986.45,407.0179
2025-12-21 21:45:00,2973.81,2980.04,2971.14,2979.61,549.0593
2025-12-21 22:00:00,2986.22,2986.41,2971.87,2973.81,564.88
2025-12-21 22:15:00,2987.56,2990.01,2981.81,2986.22,467.1512
2025-12-21 22:30:00,2990.06,2993.43,2986.91,2987.55,478.5896
2025-12-21 22:45:00,2996.69,2996.69,2989.27,2990.07,451.3862
2025-12-21 23:00:00,2999.42,3012.59,2996.54,2996.69,1586.1832
2025-12-21 23:15:00,2998.2,3008.31,2998.2,2999.43,716.6879
2025-12-21 23:30:00,3000.26,3006.4,2992.57,2998.17,770.969
2025-12-21 23:45:00,3002.26,3005.53,3000.26,3000.26,468.7027
2025-12-22 00:00:00,3045.34,3046.8,3002.26,3002.26,1893.748
2025-12-22 00:15:00,3030.04,3060.79,3014.94,3045.34,4157.5035
2025-12-22 00:30:00,3033.18,3040.68,3019.88,3029.73,1521.9139
2025-12-22 00:45:00,3022.5,3038.02,3022.5,3033.34,1207.4906
2025-12-22 01:00:00,3030.18,3033.88,3021.19,3022.5,1751.4729
2025-12-22 01:15:00,3035.24,3043.48,3029.66,3030.19,1373.7278
2025-12-22 01:30:00,3041.52,3047.99,3035.23,3035.23,1472.2408
2025-12-22 01:45:00,3018.79,3043.09,3018.19,3041.53,1902.5007
2025-12-22 02:00:00,2994.33,3019.97,2973.23,3018.78,5720.3094
2025-12-22 02:15:00,2999.08,3007.24,2989.71,2994.33,1797.1978
2025-12-22 02:30:00,3007.48,3014.43,2998.31,2999.08,1708.5013
2025-12-22 02:45:00,3010.27,3013.76,3007.47,3007.47,874.8195
2025-12-22 03:00:00,3015.54,3021.04,3002.18,3010.28,1110.2239
2025-12-22 03:15:00,3027.0,3029.86,3014.33,3015.54,1254.5429
2025-12-22 03:30:00,3022.29,3032.81,3020.59,3027.0,1171.8811
2025-12-22 03:45:00,3021.4,3025.34,3018.53,3022.29,632.8485
2025-12-22 04:00:00,3022.18,3025.86,3020.1,3021.4,739.0518
2025-12-22 04:15:00,3035.39,3038.88,3022.18,3022.18,792.8293
2025-12-22 04:30:00,3038.4,3040.9,3027.94,3035.38,1401.5054
2025-12-22 04:45:00,3040.21,3042.9,3035.58,3038.4,1177.4207
2025-12-22 05:00:00,3035.13,3041.51,3031.53,3040.21,1058.8038
2025-12-22 05:15:00,3028.22,3036.72,3027.41,3035.05,1078.7469
2025-12-22 05:30:00,3031.78,3037.45,3025.33,3028.22,798.5373
2025-12-22 05:45:00,3028.61,3035.98,3027.36,3031.78,593.6502
2025-12-22 06:00:00,3027.07,3030.18,3023.75,3028.62,677.9371
2025-12-22 06:15:00,3025.77,3033.73,3022.87,3027.07,770.5852
2025-12-22 06:30:00,3030.81,3030.81,3024.62,3025.78,676.9617
2025-12-22 06:45:00,3025.02,3030.59,3025.01,3030.59,491.3118
2025-12-22 07:00:00,3033.46,3035.64,3023.53,3025.01,812.148
2025-12-22 07:15:00,3031.68,3034.31,3029.16,3033.47,685.5664
2025-12-22 07:30:00,3031.47,3034.29,3028.23,3031.68,665.5411
2025-12-22 07:45:00,3029.8,3031.47,3027.72,3031.47,558.9637
2025-12-22 08:00:00,3031.59,3035.43,3028.76,3029.8,843.9149
2025-12-22 08:15:00,3051.03,3055.61,3031.59,3031.59,2850.4011
2025-12-22 08:30:00,3042.76,3054.18,3039.01,3051.03,1594.4514
2025-12-22 08:45:00,3027.8,3044.66,3025.01,3042.76,1631.3239
2025-12-22 09:00:00,3030.54,3035.08,3026.06,3027.8,839.8956
2025-12-22 09:15:00,3037.23,3041.87,3030.34,3030.54,847.2385
2025-12-22 09:30:00,3034.93,3042.58,3032.28,3037.19,1026.2074
2025-12-22 09:45:00,3041.28,3041.5,3032.45,3034.92,721.6175
2025-12-22 10:00:00,3038.53,3043.1,3032.33,3041.28,808.0321
2025-12-22 10:15:00,3036.42,3041.24,3035.05,3038.45,641.8533
2025-12-22 10:30:00,3041.32,3042.5,3036.42,3036.42,651.0046
2025-12-22 10:45:00,3040.67,3045.72,3040.17,3041.31,687.0997
2025-12-22 11:00:00,3041.8,3045.8,3039.84,3040.66,620.0782
2025-12-22 11:15:00,3045.2,3046.66,3036.89,3041.79,666.8566
2025-12-22 11:30:00,3047.1,3050.83,3042.15,3045.2,1127.9327
2025-12-22 11:45:00,3049.03,3058.12,3047.1,3047.11,1465.0476
2025-12-22 12:00:00,3050.75,3052.97,3043.93,3049.03,2045.5794
2025-12-22 12:15:00,3055.2,3058.93,3050.75,3050.75,1621.1537
2025-12-22 12:30:00,3057.79,3077.16,3052.73,3055.2,2798.4498
2025-12-22 12:45:00,3058.58,3060.5,3052.22,3057.79,919.9024
2025-12-22 13:00:00,3056.18,3062.5,3053.47,3058.59,765.1342
2025-12-22 13:15:00,3062.83,3064.85,3048.5,3056.22,1669.984
2025-12-22 13:30:00,3048.88,3063.0,3048.88,3062.84,1231.0671
2025-12-22 13:45:00,3057.01,3058.65,3048.27,3048.87,1335.0879
2025-12-22 14:00:00,3058.76,3062.81,3056.14,3057.02,1044.5752
2025-12-22 14:15:00,3059.16,3067.82,3058.77,3058.77,637.3512
2025-12-22 14:30:00,3047.76,3066.65,3029.71,3059.29,3995.4404
2025-12-22 14:45:00,3061.72,3074.38,3042.76,3047.76,3514.5071
2025-12-22 15:00:00,3038.01,3072.72,3038.01,3061.72,1945.95
2025-12-22 15:15:00,3041.9,3050.86,3027.78,3038.0,3830.918
2025-12-22 15:30:00,3037.04,3042.58,3022.34,3041.9,2228.2625
2025-12-22 15:45:00,3052.61,3058.65,3032.26,3037.2,1995.2566
2025-12-22 16:00:00,3051.56,3057.0,3046.95,3052.61,2019.6224
2025-12-22 16:15:00,3057.02,3059.52,3050.84,3051.56,953.2837
2025-12-22 16:30:00,3041.22,3057.02,3038.61,3057.02,1877.7922
2025-12-22 16:45:00,3043.61,3049.26,3040.38,3040.93,1019.2839
2025-12-22 17:00:00,3033.37,3044.57,3023.87,3043.62,1674.2811
2025-12-22 17:15:00,3033.19,3036.23,3027.44,3033.37,1289.4297
2025-12-22 17:30:00,3030.01,3036.17,3026.11,3033.19,1257.4961
2025-12-22 17:45:00,3032.97,3034.24,3025.81,3030.0,1109.0861
2025-12-22 18:00:00,3033.51,3036.02,3028.75,3032.98,1313.9172
2025-12-22 18:15:00,3032.91,3040.93,3023.17,3033.51,1171.2665
2025-12-22 18:30:00,3028.89,3034.32,3028.14,3032.92,833.7744
2025-12-22 18:45:00,3015.84,3030.32,3008.17,3028.89,1474.6629
2025-12-22 19:00:00,3000.56,3016.04,2995.08,3015.85,4441.4868
2025-12-22 19:15:00,2990.19,3008.17,2984.39,3000.56,2267.2945
2025-12-22 19:30:00,2989.12,2994.82,2982.6,2990.19,2716.7455
2025-12-22 19:45:00,2980.62,2989.63,2974.48,2988.96,1858.072
2025-12-22 20:00:00,2978.7,2986.72,2976.7,2980.62,1962.8935
2025-12-22 20:15:00,2973.15,2979.59,2963.71,2978.7,1315.9849
2025-12-22 20:30:00,2979.4,2980.09,2970.71,2973.52,1504.0258
2025-12-22 20:45:00,2976.5,2985.86,2972.44,2979.39,1646.7484
2025-12-22 21:00:00,2986.63,2989.05,2976.27,2976.34,1699.2883
2025-12-22 21:15:00,2993.6,2994.4,2984.94,2986.62,1188.2935
2025-12-22 21:30:00,2996.49,2998.0,2990.55,2993.6,1150.4579
2025-12-22 21:45:00,2988.67,2996.5,2984.08,2996.5,1177.9561
2025-12-22 22:00:00,2983.43,2988.96,2982.41,2988.66,1527.4433
2025-12-22 22:15:00,2992.16,2996.34,2983.29,2983.44,1356.1819
2025-12-22 22:30:00,2993.77,2995.57,2989.32,2992.16,977.4732
2025-12-22 22:45:00,3011.9,3015.42,2993.77,2993.78,1917.4755
2025-12-22 23:00:00,3010.1,3012.93,3003.38,3011.9,1257.7399
2025-12-22 23:15:00,3010.52,3012.3,3004.5,3010.1,1174.4103
2025-12-22 23:30:00,3006.01,3011.74,3004.48,3010.52,983.7235
2025-12-22 23:45:00,3009.53,3009.85,3001.64,3006.02,987.7904
2025-12-23 00:00:00,3009.2,3009.72,3005.62,3009.54,969.0284
