datetime,open,high,low,close,volume
2023-01-01 00:00:00,0.3389,0.3391,0.3367,0.3381,146365967.3
2023-01-01 04:00:00,0.3381,0.3383,0.3352,0.3366,135736687.1
2023-01-01 08:00:00,0.3367,0.3385,0.3361,0.3382,102573382.5
2023-01-01 12:00:00,0.3382,0.3387,0.3362,0.3368,106038375.3
2023-01-01 16:00:00,0.3367,0.3397,0.3367,0.3389,122907919.9
2023-01-01 20:00:00,0.3388,0.3393,0.3374,0.3385,104038678.4
2023-01-02 00:00:00,0.3384,0.3392,0.2968,0.3282,1129389177.8
2023-01-02 04:00:00,0.3281,0.3395,0.326,0.3373,552250847.8
2023-01-02 08:00:00,0.3374,0.348,0.3373,0.344,505764740.6
2023-01-02 12:00:00,0.344,0.3546,0.342,0.3509,381499028.6
2023-01-02 16:00:00,0.3508,0.3554,0.3492,0.3512,335723079.1
2023-01-02 20:00:00,0.3513,0.3545,0.3468,0.3479,283510379.5
2023-01-03 00:00:00,0.3478,0.3481,0.3415,0.3427,316320461.7
2023-01-03 04:00:00,0.3427,0.3518,0.3419,0.3488,349234304.5
2023-01-03 08:00:00,0.3488,0.3494,0.3436,0.344,263881573.3
2023-01-03 12:00:00,0.344,0.3471,0.34,0.3431,379721135.4
2023-01-03 16:00:00,0.3432,0.3452,0.3411,0.3451,220834463.9
2023-01-03 20:00:00,0.3451,0.3464,0.3429,0.3434,146013622.0
2023-01-04 00:00:00,0.3435,0.3527,0.3419,0.3484,373029212.2
2023-01-04 04:00:00,0.3485,0.3504,0.3469,0.3495,220858279.2
2023-01-04 08:00:00,0.3495,0.351,0.3473,0.3486,230387542.1
2023-01-04 12:00:00,0.3486,0.3491,0.341,0.3474,302931151.5
2023-01-04 16:00:00,0.3474,0.3517,0.3434,0.3464,408725007.8
2023-01-04 20:00:00,0.3464,0.3479,0.3435,0.347,159381361.7
2023-01-05 00:00:00,0.3469,0.3485,0.3437,0.3456,159781048.4
2023-01-05 04:00:00,0.3455,0.3479,0.3431,0.3447,179124763.3
2023-01-05 08:00:00,0.3447,0.3453,0.3364,0.3416,336556526.5
2023-01-05 12:00:00,0.3415,0.3422,0.3381,0.3397,292006806.8
2023-01-05 16:00:00,0.3396,0.3414,0.3375,0.341,150118113.0
2023-01-05 20:00:00,0.341,0.3417,0.3321,0.3377,207561629.2
2023-01-06 00:00:00,0.3377,0.3407,0.3354,0.339,182501372.4
2023-01-06 04:00:00,0.339,0.339,0.3309,0.3349,348457233.9
2023-01-06 08:00:00,0.3349,0.3367,0.3337,0.3344,184392747.2
2023-01-06 12:00:00,0.3344,0.3381,0.333,0.3378,333517417.3
2023-01-06 16:00:00,0.3379,0.3424,0.336,0.3417,199257434.1
2023-01-06 20:00:00,0.3417,0.3459,0.3401,0.344,183480616.2
2023-01-07 00:00:00,0.344,0.3453,0.3423,0.3425,131551084.8
2023-01-07 04:00:00,0.3425,0.3435,0.341,0.3424,84952255.3
2023-01-07 08:00:00,0.3424,0.3432,0.3416,0.3425,65021757.3
2023-01-07 12:00:00,0.3425,0.3454,0.3419,0.3446,137983999.1
2023-01-07 16:00:00,0.3446,0.3455,0.3423,0.3448,135806701.6
2023-01-07 20:00:00,0.3447,0.3451,0.3427,0.3441,72213161.9
2023-01-08 00:00:00,0.3442,0.3449,0.3332,0.3412,276519188.7
2023-01-08 04:00:00,0.3412,0.3413,0.3395,0.34,69955139.7
2023-01-08 08:00:00,0.3399,0.3417,0.3375,0.3386,141967139.6
2023-01-08 12:00:00,0.3386,0.3432,0.3385,0.3428,144257040.1
2023-01-08 16:00:00,0.3427,0.3435,0.3384,0.3399,157148720.3
2023-01-08 20:00:00,0.34,0.3472,0.3398,0.3451,286176889.5
2023-01-09 00:00:00,0.345,0.3534,0.3436,0.3514,608352037.6
2023-01-09 04:00:00,0.3514,0.3545,0.3471,0.3489,354199379.7
2023-01-09 08:00:00,0.3488,0.3525,0.348,0.3503,302894055.2
2023-01-09 12:00:00,0.3503,0.357,0.3417,0.3552,687980859.8
2023-01-09 16:00:00,0.3552,0.3576,0.3507,0.3553,483262656.1
2023-01-09 20:00:00,0.3552,0.3565,0.3461,0.3486,442043692.6
2023-01-10 00:00:00,0.3486,0.3522,0.343,0.3486,297553835.5
2023-01-10 04:00:00,0.3486,0.3496,0.3464,0.3471,198069610.0
2023-01-10 08:00:00,0.3472,0.3506,0.3469,0.349,181488250.6
2023-01-10 12:00:00,0.3489,0.3508,0.3463,0.3499,296951032.7
2023-01-10 16:00:00,0.35,0.3534,0.3479,0.3531,185144937.7
2023-01-10 20:00:00,0.3532,0.3539,0.3503,0.3507,186594643.0
2023-01-11 00:00:00,0.3508,0.3516,0.3475,0.3492,187843758.5
2023-01-11 04:00:00,0.3492,0.3679,0.3489,0.3618,918795159.5
2023-01-11 08:00:00,0.3619,0.3662,0.3594,0.3617,515907813.5
2023-01-11 12:00:00,0.3618,0.375,0.3608,0.3694,1144394372.6
2023-01-11 16:00:00,0.3693,0.3788,0.3672,0.3717,855238063.0
2023-01-11 20:00:00,0.3717,0.3752,0.3682,0.3727,426107186.3
2023-01-12 00:00:00,0.3727,0.3819,0.3703,0.3763,617153826.2
2023-01-12 04:00:00,0.3763,0.3786,0.371,0.3733,295639580.8
2023-01-12 08:00:00,0.3733,0.3743,0.368,0.3689,278610176.2
2023-01-12 12:00:00,0.3689,0.3745,0.357,0.3671,799525133.8
2023-01-12 16:00:00,0.3671,0.3786,0.3663,0.3749,499364226.0
2023-01-12 20:00:00,0.3748,0.3775,0.3736,0.3746,274452251.9
2023-01-13 00:00:00,0.3746,0.3788,0.3703,0.3786,280221842.8
2023-01-13 04:00:00,0.3786,0.38,0.375,0.3763,226837673.6
2023-01-13 08:00:00,0.3764,0.3779,0.3733,0.3743,303602426.8
2023-01-13 12:00:00,0.3743,0.3748,0.3673,0.3738,396892856.8
2023-01-13 16:00:00,0.3738,0.3768,0.37,0.3763,273410027.7
2023-01-13 20:00:00,0.3763,0.3867,0.3753,0.3856,535076481.2
2023-01-14 00:00:00,0.3856,0.4066,0.3849,0.4014,1104965178.2
2023-01-14 04:00:00,0.4014,0.4085,0.3982,0.4047,398481274.0
2023-01-14 08:00:00,0.4046,0.4094,0.3749,0.3925,916403238.1
2023-01-14 12:00:00,0.3924,0.3977,0.386,0.394,459242001.3
2023-01-14 16:00:00,0.3941,0.3959,0.3901,0.3922,192411884.9
2023-01-14 20:00:00,0.3923,0.3969,0.3909,0.3952,164314173.4
2023-01-15 00:00:00,0.3952,0.397,0.384,0.3901,402438827.0
2023-01-15 04:00:00,0.3901,0.3905,0.3851,0.3879,124157599.2
2023-01-15 08:00:00,0.3878,0.388,0.379,0.384,242720074.7
2023-01-15 12:00:00,0.3839,0.389,0.3795,0.3884,263060256.6
2023-01-15 16:00:00,0.3883,0.39,0.3827,0.3854,280819992.4
2023-01-15 20:00:00,0.3854,0.3873,0.3822,0.3845,174462974.0
2023-01-16 00:00:00,0.3845,0.4055,0.384,0.4053,570435664.2
2023-01-16 04:00:00,0.4052,0.4062,0.3926,0.3933,431565135.3
2023-01-16 08:00:00,0.3934,0.3934,0.3752,0.3848,481748501.3
2023-01-16 12:00:00,0.3849,0.387,0.3777,0.3856,378393157.9
2023-01-16 16:00:00,0.3855,0.3927,0.3848,0.3922,298538916.9
2023-01-16 20:00:00,0.3922,0.3941,0.3838,0.3854,248997766.3
2023-01-17 00:00:00,0.3854,0.3888,0.378,0.3833,312697248.4
2023-01-17 04:00:00,0.3832,0.3898,0.3828,0.3895,183909802.8
2023-01-17 08:00:00,0.3896,0.3916,0.385,0.3881,205055651.0
2023-01-17 12:00:00,0.388,0.3919,0.3835,0.3869,433834909.6
2023-01-17 16:00:00,0.387,0.3953,0.3847,0.3927,237815822.5
2023-01-17 20:00:00,0.3927,0.3987,0.3863,0.3868,296714156.1
2023-01-18 00:00:00,0.3868,0.3928,0.385,0.3874,291794101.7
2023-01-18 04:00:00,0.3873,0.3892,0.3861,0.3889,158355744.3
2023-01-18 08:00:00,0.3888,0.3918,0.384,0.3891,266841470.2
2023-01-18 12:00:00,0.3891,0.3964,0.368,0.3813,583351200.4
2023-01-18 16:00:00,0.3813,0.3915,0.3635,0.3897,935349903.2
2023-01-18 20:00:00,0.3897,0.3902,0.3765,0.378,405686798.5
2023-01-19 00:00:00,0.3779,0.3813,0.3761,0.3786,199174227.4
2023-01-19 04:00:00,0.3786,0.3848,0.3785,0.3839,138080343.7
2023-01-19 08:00:00,0.3839,0.3895,0.3822,0.3844,283048012.9
2023-01-19 12:00:00,0.3844,0.396,0.3815,0.3906,720068768.1
2023-01-19 16:00:00,0.3905,0.3967,0.3884,0.3935,422169408.1
2023-01-19 20:00:00,0.3935,0.3957,0.3909,0.3927,182612091.2
2023-01-20 00:00:00,0.3927,0.3935,0.3891,0.3904,163484021.4
2023-01-20 04:00:00,0.3904,0.3918,0.3858,0.388,179058408.7
2023-01-20 08:00:00,0.3881,0.3933,0.3875,0.3909,163513908.1
2023-01-20 12:00:00,0.3909,0.3941,0.3892,0.3927,226670892.9
2023-01-20 16:00:00,0.3927,0.4029,0.3926,0.4022,361800729.3
2023-01-20 20:00:00,0.4022,0.4141,0.4018,0.4125,647643816.0
2023-01-21 00:00:00,0.4125,0.4143,0.4054,0.4102,328403831.6
2023-01-21 04:00:00,0.4102,0.4116,0.4077,0.4103,140202563.6
2023-01-21 08:00:00,0.4103,0.4165,0.393,0.4088,588545948.4
2023-01-21 12:00:00,0.4088,0.4134,0.4055,0.4085,267702837.7
2023-01-21 16:00:00,0.4084,0.4148,0.4078,0.4133,224810471.2
2023-01-21 20:00:00,0.4133,0.414,0.4013,0.4032,224951058.9
2023-01-22 00:00:00,0.4032,0.4062,0.3991,0.4045,164836647.1
2023-01-22 04:00:00,0.4044,0.4082,0.4038,0.4046,99632443.8
2023-01-22 08:00:00,0.4047,0.4059,0.4026,0.4041,124157554.2
2023-01-22 12:00:00,0.4042,0.4099,0.4008,0.4055,283726245.4
2023-01-22 16:00:00,0.4054,0.4123,0.4021,0.4048,286185226.3
2023-01-22 20:00:00,0.4048,0.405,0.3955,0.4002,320302715.2
2023-01-23 00:00:00,0.4003,0.4125,0.3993,0.4051,302448871.0
2023-01-23 04:00:00,0.4052,0.4144,0.4039,0.4136,233705577.2
2023-01-23 08:00:00,0.4135,0.4328,0.4131,0.4233,897339045.1
2023-01-23 12:00:00,0.4232,0.43,0.4124,0.4217,747922772.2
2023-01-23 16:00:00,0.4216,0.4309,0.4191,0.4267,451063698.9
2023-01-23 20:00:00,0.4267,0.4332,0.4227,0.4234,444676867.2
